epoch;dice_coef;loss;precision;recall;val_dice_coef;val_loss;val_precision;val_recall
0;0.004697404336184263;0.23104223608970642;0.06821086257696152;0.04152597859501839;0.019842438399791718;0.03892603516578674;0.7349926233291626;0.010492973029613495
1;0.43490391969680786;0.07915067672729492;0.7685748934745789;0.3534781038761139;0.5604218244552612;0.03328379988670349;0.7337177395820618;0.47932684421539307
2;0.5049327611923218;0.06741030514240265;0.778546929359436;0.41163191199302673;0.5752753615379333;0.03006836399435997;0.7702164649963379;0.49015578627586365
3;0.5733280777931213;0.05559489503502846;0.7936692237854004;0.4907166063785553;0.6100956201553345;0.02633301541209221;0.7335896492004395;0.5586912631988525
4;0.6378200054168701;0.047810375690460205;0.8050366640090942;0.5700939297676086;0.6232255697250366;0.037068694829940796;0.5463584065437317;0.7695143818855286
5;0.6856443881988525;0.04224346578121185;0.8255700469017029;0.623157262802124;0.6091758012771606;0.04081293195486069;0.5119500756263733;0.8107495903968811
6;0.7268291711807251;0.03684115782380104;0.8375751972198486;0.6711803078651428;0.5896939039230347;0.03929243981838226;0.4979845881462097;0.8117104172706604
7;0.7621675133705139;0.03266283869743347;0.8482227921485901;0.7167932987213135;0.6440934538841248;0.02663278579711914;0.6093577146530151;0.7768213748931885
8;0.7837597727775574;0.029882807284593582;0.8549560904502869;0.7457624077796936;0.7094066739082336;0.021012116223573685;0.6547634601593018;0.8111599087715149
9;0.8043158650398254;0.027172772213816643;0.858181893825531;0.7749260663986206;0.7422101497650146;0.01793702319264412;0.6925278306007385;0.831278920173645
10;0.8184719681739807;0.025087950751185417;0.8651891350746155;0.7912009954452515;0.764513373374939;0.015838082879781723;0.7261521220207214;0.8291066884994507
11;0.8213699460029602;0.02475847490131855;0.8680925965309143;0.7948684096336365;0.7745541334152222;0.014630097895860672;0.7847423553466797;0.7774214148521423
12;0.8394945859909058;0.022281736135482788;0.8753607869148254;0.8200358748435974;0.7825357913970947;0.014045991003513336;0.8183544278144836;0.7616860866546631
13;0.8528962135314941;0.02060658298432827;0.8824740648269653;0.8349359631538391;0.8231667280197144;0.0124472351744771;0.863024890422821;0.7952665686607361
14;0.8629385232925415;0.019096579402685165;0.8892504572868347;0.8470305800437927;0.8305453658103943;0.01214140560477972;0.8571992516517639;0.8153544664382935
15;0.8707746863365173;0.01809065230190754;0.8967751860618591;0.8556370735168457;0.8333521485328674;0.012315546162426472;0.8524327874183655;0.827555239200592
16;0.8836632370948792;0.01605319045484066;0.9055622220039368;0.8697689771652222;0.7968074679374695;0.01483682356774807;0.7708197832107544;0.8512875437736511
17;0.8838908076286316;0.016104282811284065;0.9078606963157654;0.8686191439628601;0.8341898322105408;0.01235799491405487;0.8295688033103943;0.851084291934967
18;0.89332115650177;0.014904080890119076;0.9132452607154846;0.8801218271255493;0.8281566500663757;0.012605658732354641;0.8033040761947632;0.8683885931968689
19;0.8917059302330017;0.01501670852303505;0.9131932258605957;0.8779163956642151;0.8210921287536621;0.012840366922318935;0.8090642690658569;0.8450320363044739
20;0.9124309420585632;0.01189936138689518;0.924859881401062;0.9027225375175476;0.8357197046279907;0.011255403980612755;0.8129187226295471;0.8678851127624512
21;0.924524188041687;0.010059429332613945;0.9356092810630798;0.9155285954475403;0.8305743932723999;0.011977373622357845;0.8162550926208496;0.8574526906013489
22;0.9304015636444092;0.009149583987891674;0.9407179951667786;0.9218240976333618;0.8467142581939697;0.011400813236832619;0.845202624797821;0.8570601940155029
23;0.9075443744659424;0.013246758840978146;0.9273081421852112;0.8949859142303467;0.8581119775772095;0.010568114928901196;0.8577511310577393;0.8649308085441589
24;0.9070667028427124;0.01295819878578186;0.9274428486824036;0.8937809467315674;0.8112005591392517;0.015034659765660763;0.7738437652587891;0.8736880421638489
25;0.9220802783966064;0.010536531917750835;0.9342220425605774;0.9126526117324829;0.8381257057189941;0.01197408139705658;0.8031532764434814;0.8890531659126282
26;0.9268635511398315;0.00990578904747963;0.9395103454589844;0.9171770215034485;0.8422954082489014;0.011242680251598358;0.8285813331604004;0.8719755411148071
27;0.9183499813079834;0.011369097977876663;0.9374640583992004;0.9056251645088196;0.7994318604469299;0.017868589609861374;0.7422616481781006;0.8926283121109009
28;0.9370131492614746;0.008281727321445942;0.9476351141929626;0.9285560250282288;0.8195207715034485;0.015461658127605915;0.7891467213630676;0.8699343800544739
29;0.9418244361877441;0.007521671708673239;0.9511396288871765;0.9338277578353882;0.8449497222900391;0.013407071121037006;0.8396358489990234;0.8626811504364014
30;0.9495939016342163;0.0064474488608539104;0.9583438634872437;0.9417927861213684;0.8498806953430176;0.014275535941123962;0.8338914513587952;0.87755286693573
31;0.9537830352783203;0.005822407081723213;0.9615684151649475;0.9469003677368164;0.8500867486000061;0.014586181379854679;0.8421701192855835;0.8682796955108643
32;0.9569172263145447;0.005394443403929472;0.9637420773506165;0.9509000778198242;0.8408606648445129;0.01640067994594574;0.846423327922821;0.8493687510490417
33;0.9575653672218323;0.005326401442289352;0.9643973112106323;0.9515873789787292;0.8491857051849365;0.01596219837665558;0.8588700294494629;0.8494264483451843
34;0.9274194836616516;0.010685045272111893;0.9423232078552246;0.917942464351654;0.8410484194755554;0.011218708008527756;0.8402893543243408;0.8550482988357544
35;0.9321315288543701;0.009294665418565273;0.9450809359550476;0.9228590130805969;0.8444968461990356;0.014242362231016159;0.813555896282196;0.892819881439209
