epoch;dice_coef;loss;precision;recall;val_dice_coef;val_loss;val_precision;val_recall
0;0.060666780918836594;0.09653622657060623;0.24773655831813812;0.06548859179019928;0.6207846403121948;0.030685672536492348;0.6213081479072571;0.6549217104911804
1;0.5456920862197876;0.020753026008605957;0.8064493536949158;0.4476260542869568;0.6475327014923096;0.02181963063776493;0.7910926938056946;0.583770751953125
2;0.6319389343261719;0.01714422181248665;0.8145256638526917;0.545589029788971;0.6626982688903809;0.020617904141545296;0.8298903107643127;0.5764204263687134
3;0.6958302855491638;0.01478581689298153;0.8231654763221741;0.6294844150543213;0.6981041431427002;0.017336301505565643;0.8129218816757202;0.650225043296814
4;0.7510071992874146;0.012498760595917702;0.8398926258087158;0.69877690076828;0.7392027974128723;0.016615701839327812;0.7912380695343018;0.7219046950340271
5;0.7892143726348877;0.010735160671174526;0.8568005561828613;0.7463392615318298;0.75066739320755;0.01784053072333336;0.7809324860572815;0.7351306080818176
6;0.8072362542152405;0.009655961766839027;0.8652349710464478;0.7696138620376587;0.7958946228027344;0.014852676540613174;0.861528217792511;0.7611126899719238
7;0.8360657691955566;0.008410760201513767;0.8822771310806274;0.8036359548568726;0.834227442741394;0.011293144896626472;0.808251142501831;0.8769920468330383
8;0.8473215103149414;0.007647810038179159;0.8896355628967285;0.8176575899124146;0.8535409569740295;0.009573753923177719;0.8573229908943176;0.8559378981590271
9;0.8686472773551941;0.006466747261583805;0.9007198810577393;0.8442137837409973;0.8591614365577698;0.009929188527166843;0.8558869361877441;0.8728382587432861
10;0.8601521253585815;0.007020154502242804;0.8992680907249451;0.832959771156311;0.8591627478599548;0.010131485760211945;0.8739160895347595;0.8509986996650696
11;0.8827599287033081;0.005747569724917412;0.9105798006057739;0.8621261715888977;0.8773653507232666;0.008841673843562603;0.8816321492195129;0.8789454102516174
12;0.8820129036903381;0.005853826180100441;0.9086334705352783;0.8618229031562805;0.8342902660369873;0.01130982581526041;0.8721855878829956;0.8178898096084595
13;0.8976285457611084;0.004930261056870222;0.919762134552002;0.8803406953811646;0.8535275459289551;0.010559490881860256;0.8572128415107727;0.8551697731018066
14;0.889228880405426;0.005413223523646593;0.9150555729866028;0.8712835907936096;0.8755794763565063;0.009361507371068;0.8910380005836487;0.871219277381897
15;0.8966645002365112;0.005147481802850962;0.9221041798591614;0.8783641457557678;0.87738436460495;0.00913098081946373;0.8787857890129089;0.8843972086906433
16;0.9146290421485901;0.0040377043187618256;0.9322062134742737;0.9005193710327148;0.8715659976005554;0.00968814454972744;0.8844695091247559;0.8700539469718933
17;0.9001930356025696;0.005021995399147272;0.925922691822052;0.8819746971130371;0.8835256099700928;0.008750389330089092;0.883831799030304;0.8915584683418274
18;0.9242208003997803;0.003557274816557765;0.9414893388748169;0.9101892709732056;0.8852279186248779;0.008948690257966518;0.8913239240646362;0.8841443061828613
19;0.9276555180549622;0.00336620700545609;0.9442539215087891;0.914291501045227;0.887890636920929;0.008863137103617191;0.8929271101951599;0.8892892599105835
20;0.8973517417907715;0.0051996950060129166;0.9249750971794128;0.8783850073814392;0.8747051954269409;0.008697985671460629;0.8732308149337769;0.8872058391571045
21;0.929334282875061;0.003310979111120105;0.9456587433815002;0.9162267446517944;0.8875197768211365;0.008785685524344444;0.8794920444488525;0.8996379375457764
22;0.9364904761314392;0.0029407055117189884;0.9517160654067993;0.924335777759552;0.8840095400810242;0.009904778562486172;0.8831457495689392;0.8939197063446045
23;0.9407684206962585;0.002759974217042327;0.9554508328437805;0.9290774464607239;0.8864203095436096;0.010414129123091698;0.8763849139213562;0.9012805819511414
24;0.9119617342948914;0.00441344641149044;0.9371183514595032;0.895077645778656;0.8811100125312805;0.008616500534117222;0.8868688344955444;0.8798377513885498
25;0.9415326118469238;0.0027151957619935274;0.9565989971160889;0.9295879006385803;0.8877483606338501;0.009835982695221901;0.8864161968231201;0.8983244299888611
26;0.9431746006011963;0.0026473214384168386;0.9575384259223938;0.9320377707481384;0.8624434471130371;0.011841515079140663;0.8641654253005981;0.8695350885391235
27;0.9249349236488342;0.0035985950380563736;0.9446882605552673;0.910638153553009;0.889302670955658;0.009264739230275154;0.8762181997299194;0.9088773131370544
28;0.949383020401001;0.002342929132282734;0.9630449414253235;0.9390261769294739;0.8847399353981018;0.009878839366137981;0.8794613480567932;0.899692714214325
29;0.9515218138694763;0.0022231831680983305;0.9648137092590332;0.9416167140007019;0.890937328338623;0.010710487142205238;0.8777102828025818;0.9086955785751343
30;0.9247771501541138;0.0036676214076578617;0.9432952404022217;0.9115501046180725;0.8909884095191956;0.009120769798755646;0.887529730796814;0.9012244939804077
31;0.9397420287132263;0.0029270388185977936;0.9560799598693848;0.9275425672531128;0.8858709931373596;0.011546571739017963;0.8810039758682251;0.8976424932479858
32;0.954054057598114;0.002108718268573284;0.9671066403388977;0.9444892406463623;0.8842934966087341;0.011100903153419495;0.874390184879303;0.9000980257987976
33;0.9565896391868591;0.001987952971830964;0.9696668982505798;0.9471928477287292;0.893880307674408;0.011163810268044472;0.8855109214782715;0.9102684855461121
34;0.9320032000541687;0.0033304437529295683;0.9536390900611877;0.9184838533401489;0.8841391801834106;0.008401388302445412;0.8769267797470093;0.8983352780342102
35;0.946662962436676;0.002446768805384636;0.9615464806556702;0.9353510141372681;0.8866463303565979;0.011531474068760872;0.872782289981842;0.9088003039360046
36;0.958156168460846;0.0019155627815052867;0.9710125923156738;0.9490489959716797;0.8809186816215515;0.011956147849559784;0.8586586713790894;0.9172748327255249
